date, pm25, pm10, o3, no2
2018/12/12, , 12, 11, 5
2018/12/13, , 13, 10, 5
2018/12/14, , 19, 16, 4
2018/12/15, , 22, 15, 5
2018/12/16, , 18, 18, 6
2018/12/17, , 12, 24, 4
2018/12/18, , 7, 19, 6
2018/12/19, , 5, 23, 4
2018/12/22, , 7, 21, 
2018/12/23, , 10, 23, 2
2018/12/24, , 8, 13, 5
2018/12/25, , 5, 14, 3
2018/12/26, , 11, 7, 10
2018/12/27, , 20, 3, 11
2018/12/28, , 46, 16, 9
2018/12/29, , 34, 29, 5
2018/12/30, , 12, , 
2018/7/1, , 9, , 6
2018/7/2, , 12, , 6
2018/7/3, , 18, , 9
2018/7/4, , 33, , 6
2018/7/5, , 36, , 5
2018/7/6, , 19, , 2
2018/7/7, , 10, , 2
2018/7/8, , 10, , 4
2018/7/9, , 11, , 3
2018/7/10, , 9, , 6
2018/7/11, , 14, , 4
2018/7/12, , 18, , 3
2018/7/13, , 18, , 2
2018/7/14, , 19, , 
2018/7/15, , 15, , 6
2018/7/16, , 12, , 6
2018/7/17, , 23, , 4
2018/7/18, , 24, , 6
2018/7/19, , 23, , 9
2018/7/20, , 29, , 4
2018/7/21, , 26, , 3
2018/7/22, , 20, , 8
2018/7/23, , 22, , 7
2018/7/24, , 25, , 8
2018/7/25, , 29, , 8
2018/7/26, , 30, , 8
2018/7/27, , 35, , 3
2018/7/28, , 26, , 3
2018/7/29, , 16, , 7
2018/7/30, , 21, , 6
2018/7/31, , 30, , 6
2018/8/1, , 25, , 7
2018/8/2, , 24, , 7
2018/8/3, , 30, , 4
2018/8/4, , 26, , 2
2018/8/5, , 12, , 8
2018/8/6, , 13, , 9
2018/8/7, , 25, , 4
2018/8/8, , 24, , 7
2018/8/9, , 20, , 3
2018/8/10, , 12, , 6
2018/8/11, , 10, , 3
2018/8/12, , 10, , 10
2018/8/13, , 12, , 3
2018/8/14, , 12, , 4
2018/8/15, , 11, , 10
2018/8/16, , 17, , 7
2018/8/17, , 23, , 
2018/8/20, , 16, , 4
2018/8/21, , 14, , 8
2018/8/22, , 19, , 6
2018/8/23, , 39, , 2
2018/8/24, , 19, , 4
2018/8/25, , 8, , 
2018/8/28, , 13, , 8
2018/8/29, , 21, , 3
2018/8/30, , 21, , 6
2018/8/31, , 10, , 8
2018/9/1, , 20, , 5
2018/9/2, , 26, , 7
2018/9/3, , 20, , 6
2018/9/4, , 34, , 9
2018/9/5, , 24, , 11
2018/9/6, , 32, 17, 6
2018/9/7, , 30, 32, 5
2018/9/8, , 12, 35, 
2018/9/9, , 18, 28, 8
2018/9/10, , 11, 31, 5
2018/9/11, , 13, 24, 6
2018/9/12, , 16, 17, 6
2018/9/13, , 13, 25, 6
2018/9/14, , 15, 23, 5
2018/9/15, , 20, 34, 2
2018/9/16, , 12, 44, 11
2018/9/17, , 31, 46, 7
2018/9/18, , 38, 38, 8
2018/9/19, , 29, 38, 7
2018/9/20, , 31, 33, 3
2018/9/21, , 13, 24, 
2018/9/22, , 9, 22, 
2018/9/25, , 10, 25, 7
2018/9/26, , 15, 30, 9
2018/9/27, , 22, 10, 13
2018/9/28, , 32, 20, 3
2018/9/29, , 18, 23, 5
2018/9/30, , 14, 26, 5
2018/4/1, , 22, , 2
2018/4/2, , 30, , 3
2018/4/3, , 18, , 7
2018/4/4, , 20, , 3
2018/4/5, , 16, , 7
2018/4/6, , 29, , 3
2018/4/7, , 33, , 3
2018/4/8, , 18, , 11
2018/4/9, , 49, , 8
2018/4/10, , 65, , 5
2018/4/11, , 51, , 5
2018/4/12, , 39, , 13
2018/4/13, , 57, , 4
2018/4/14, , 57, , 2
2018/4/15, , 31, , 7
2018/4/16, , 21, , 5
2018/4/17, , 29, , 9
2018/4/18, , 34, , 8
2018/4/19, , 39, , 8
2018/4/20, , 38, , 5
2018/4/21, , 37, , 5
2018/4/22, , 28, , 5
2018/4/23, , 16, , 4
2018/4/24, , 13, , 5
2018/4/25, , 16, , 3
2018/4/26, , 12, , 6
2018/4/27, , 13, , 2
2018/4/28, , 19, , 
2018/4/29, , 17, , 4
2018/4/30, , 15, , 
2018/5/1, , 11, , 9
2018/5/2, , 22, , 6
2018/5/3, , 23, , 6
2018/5/4, , 21, , 5
2018/5/5, , 18, , 3
2018/5/6, , 12, , 7
2018/5/7, , 16, , 9
2018/5/8, , 24, , 6
2018/5/9, , 29, , 4
2018/5/10, , 37, , 3
2018/5/11, , 26, , 
2018/5/13, , 19, , 
2018/5/15, , 17, , 7
2018/5/16, , 21, , 3
2018/5/17, , 18, , 3
2018/5/18, , 19, , 2
2018/5/19, , 24, , 
2018/5/20, , 19, , 5
2018/5/21, , 10, , 7
2018/5/22, , 18, , 7
2018/5/23, , 20, , 6
2018/5/24, , 22, , 4
2018/5/25, , 15, , 3
2018/5/30, , 20, , 2
2018/5/31, , 21, , 6
2018/6/1, , 21, , 2
2018/6/2, , 20, , 
2018/6/3, , 18, , 4
2018/6/4, , 18, , 2
2018/6/5, , 25, , 5
2018/6/6, , 23, , 6
2018/6/7, , 24, , 6
2018/6/8, , 30, , 3
2018/6/9, , 34, , 
2018/6/10, , 20, , 4
2018/6/11, , 22, , 3
2018/6/12, , 15, , 
2018/6/13, , 10, , 4
2018/6/14, , 13, , 3
2018/6/15, , 17, , 3
